pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50147978:monomodalStopPlace:58759,IDFM:StopPlaceEntrance:50147978,IDFM:monomodalStopPlace:58759,1,1,127.67,162,,,,,
IDFM:StopPlaceEntrance:50147978:22094,IDFM:StopPlaceEntrance:50147978,IDFM:22094,1,1,133.53,170,,,,,
IDFM:StopPlaceEntrance:50147978:22086,IDFM:StopPlaceEntrance:50147978,IDFM:22086,1,1,136.32,173,,,,,
IDFM:StopPlaceEntrance:50147978:463013,IDFM:StopPlaceEntrance:50147978,IDFM:463013,1,1,136.32,173,,,,,
IDFM:StopPlaceEntrance:50147978:22095,IDFM:StopPlaceEntrance:50147978,IDFM:22095,1,1,146.56,186,,,,,
IDFM:StopPlaceEntrance:50147978:463042,IDFM:StopPlaceEntrance:50147978,IDFM:463042,1,1,166.91,212,,,,,
IDFM:StopPlaceEntrance:50170084:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50170084,IDFM:monomodalStopPlace:47136,1,1,20.97,26,,,,,
IDFM:StopPlaceEntrance:50170085:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50170085,IDFM:monomodalStopPlace:47136,1,1,25.51,32,,,,,
IDFM:StopPlaceEntrance:50171317:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50171317,IDFM:monomodalStopPlace:47136,1,1,25.5,32,,,,,
IDFM:StopPlaceEntrance:50171318:monomodalStopPlace:47136,IDFM:StopPlaceEntrance:50171318,IDFM:monomodalStopPlace:47136,1,1,1,1,,,,,
IDFM:StopPlaceEntrance:50170094:monomodalStopPlace:47130,IDFM:StopPlaceEntrance:50170094,IDFM:monomodalStopPlace:47130,1,1,51.38,65,,,,,
IDFM:StopPlaceEntrance:50170271:monomodalStopPlace:47130,IDFM:StopPlaceEntrance:50170271,IDFM:monomodalStopPlace:47130,1,1,145.92,185,,,,,
IDFM:StopPlaceEntrance:50170093:monomodalStopPlace:47130,IDFM:StopPlaceEntrance:50170093,IDFM:monomodalStopPlace:47130,1,1,93.53,119,,,,,
IDFM:StopPlaceEntrance:50170577:monomodalStopPlace:47124,IDFM:StopPlaceEntrance:50170577,IDFM:monomodalStopPlace:47124,1,1,38.28,48,,,,,
IDFM:StopPlaceEntrance:50170578:monomodalStopPlace:47124,IDFM:StopPlaceEntrance:50170578,IDFM:monomodalStopPlace:47124,1,1,68.41,87,,,,,
IDFM:StopPlaceEntrance:50170752:monomodalStopPlace:47125,IDFM:StopPlaceEntrance:50170752,IDFM:monomodalStopPlace:47125,1,1,32.29,41,,,,,
IDFM:StopPlaceEntrance:50170662:monomodalStopPlace:47125,IDFM:StopPlaceEntrance:50170662,IDFM:monomodalStopPlace:47125,1,1,17.33,22,,,,,
IDFM:StopPlaceEntrance:50171274:monomodalStopPlace:47125,IDFM:StopPlaceEntrance:50171274,IDFM:monomodalStopPlace:47125,1,1,34.94,44,,,,,
IDFM:StopPlaceEntrance:50170047:monomodalStopPlace:47119,IDFM:StopPlaceEntrance:50170047,IDFM:monomodalStopPlace:47119,1,1,154.12,196,,,,,
IDFM:StopPlaceEntrance:50170050:monomodalStopPlace:47119,IDFM:StopPlaceEntrance:50170050,IDFM:monomodalStopPlace:47119,1,1,131.31,167,,,,,
IDFM:StopPlaceEntrance:50170164:monomodalStopPlace:47118,IDFM:StopPlaceEntrance:50170164,IDFM:monomodalStopPlace:47118,1,1,41.87,53,,,,,
IDFM:StopPlaceEntrance:50170163:monomodalStopPlace:47118,IDFM:StopPlaceEntrance:50170163,IDFM:monomodalStopPlace:47118,1,1,43.7,55,,,,,
IDFM:StopPlaceEntrance:50170843:monomodalStopPlace:47118,IDFM:StopPlaceEntrance:50170843,IDFM:monomodalStopPlace:47118,1,1,101.4,129,,,,,
IDFM:StopPlaceEntrance:50170844:monomodalStopPlace:47118,IDFM:StopPlaceEntrance:50170844,IDFM:monomodalStopPlace:47118,1,1,87.29,111,,,,,
IDFM:StopPlaceEntrance:50171291:monomodalStopPlace:47115,IDFM:StopPlaceEntrance:50171291,IDFM:monomodalStopPlace:47115,1,1,13,16,,,,,
IDFM:StopPlaceEntrance:50170099:monomodalStopPlace:47199,IDFM:StopPlaceEntrance:50170099,IDFM:monomodalStopPlace:47199,1,1,21.94,27,,,,,
IDFM:StopPlaceEntrance:50170100:monomodalStopPlace:47199,IDFM:StopPlaceEntrance:50170100,IDFM:monomodalStopPlace:47199,1,1,10.72,13,,,,,
IDFM:StopPlaceEntrance:50170101:monomodalStopPlace:47199,IDFM:StopPlaceEntrance:50170101,IDFM:monomodalStopPlace:47199,1,1,7.97,10,,,,,
IDFM:StopPlaceEntrance:50170478:monomodalStopPlace:47181,IDFM:StopPlaceEntrance:50170478,IDFM:monomodalStopPlace:47181,1,1,62.34,79,,,,,
IDFM:StopPlaceEntrance:50170197:monomodalStopPlace:47181,IDFM:StopPlaceEntrance:50170197,IDFM:monomodalStopPlace:47181,1,1,45.55,58,,,,,
IDFM:StopPlaceEntrance:50170198:monomodalStopPlace:47181,IDFM:StopPlaceEntrance:50170198,IDFM:monomodalStopPlace:47181,1,1,64.51,82,,,,,
IDFM:StopPlaceEntrance:50170196:monomodalStopPlace:47181,IDFM:StopPlaceEntrance:50170196,IDFM:monomodalStopPlace:47181,1,1,19.9,25,,,,,
IDFM:StopPlaceEntrance:50170807:monomodalStopPlace:47187,IDFM:StopPlaceEntrance:50170807,IDFM:monomodalStopPlace:47187,1,1,35.28,44,,,,,
IDFM:StopPlaceEntrance:50170557:monomodalStopPlace:47184,IDFM:StopPlaceEntrance:50170557,IDFM:monomodalStopPlace:47184,1,1,10.75,13,,,,,
IDFM:StopPlaceEntrance:50170558:monomodalStopPlace:47184,IDFM:StopPlaceEntrance:50170558,IDFM:monomodalStopPlace:47184,1,1,34.44,43,,,,,
IDFM:StopPlaceEntrance:50170559:monomodalStopPlace:47184,IDFM:StopPlaceEntrance:50170559,IDFM:monomodalStopPlace:47184,1,1,76.07,96,,,,,
IDFM:StopPlaceEntrance:50170138:monomodalStopPlace:47174,IDFM:StopPlaceEntrance:50170138,IDFM:monomodalStopPlace:47174,1,1,81.63,103,,,,,
IDFM:StopPlaceEntrance:50171296:monomodalStopPlace:47171,IDFM:StopPlaceEntrance:50171296,IDFM:monomodalStopPlace:47171,1,1,64.67,82,,,,,
IDFM:StopPlaceEntrance:50170142:monomodalStopPlace:48489,IDFM:StopPlaceEntrance:50170142,IDFM:monomodalStopPlace:48489,1,1,48.95,62,,,,,
IDFM:StopPlaceEntrance:50170140:monomodalStopPlace:48489,IDFM:StopPlaceEntrance:50170140,IDFM:monomodalStopPlace:48489,1,1,58.95,75,,,,,
IDFM:StopPlaceEntrance:50170141:monomodalStopPlace:48489,IDFM:StopPlaceEntrance:50170141,IDFM:monomodalStopPlace:48489,1,1,26.74,34,,,,,
IDFM:StopPlaceEntrance:50170469:monomodalStopPlace:48489,IDFM:StopPlaceEntrance:50170469,IDFM:monomodalStopPlace:48489,1,1,17.78,22,,,,,
IDFM:StopPlaceEntrance:50170564:monomodalStopPlace:47158,IDFM:StopPlaceEntrance:50170564,IDFM:monomodalStopPlace:47158,1,1,32.23,41,,,,,
IDFM:StopPlaceEntrance:50170565:monomodalStopPlace:47158,IDFM:StopPlaceEntrance:50170565,IDFM:monomodalStopPlace:47158,1,1,52.32,66,,,,,
IDFM:StopPlaceEntrance:50170563:monomodalStopPlace:47158,IDFM:StopPlaceEntrance:50170563,IDFM:monomodalStopPlace:47158,1,1,15.37,19,,,,,
IDFM:StopPlaceEntrance:50170178:monomodalStopPlace:47158,IDFM:StopPlaceEntrance:50170178,IDFM:monomodalStopPlace:47158,1,1,82.33,104,,,,,
IDFM:StopPlaceEntrance:50170124:monomodalStopPlace:47145,IDFM:StopPlaceEntrance:50170124,IDFM:monomodalStopPlace:47145,1,1,18.68,23,,,,,
IDFM:StopPlaceEntrance:50170183:monomodalStopPlace:47145,IDFM:StopPlaceEntrance:50170183,IDFM:monomodalStopPlace:47145,1,1,14.98,19,,,,,
IDFM:StopPlaceEntrance:50170125:monomodalStopPlace:464040,IDFM:StopPlaceEntrance:50170125,IDFM:monomodalStopPlace:464040,1,1,63.2,80,,,,,
IDFM:StopPlaceEntrance:50170126:monomodalStopPlace:464040,IDFM:StopPlaceEntrance:50170126,IDFM:monomodalStopPlace:464040,1,1,150.84,192,,,,,
IDFM:StopPlaceEntrance:50170869:monomodalStopPlace:464040,IDFM:StopPlaceEntrance:50170869,IDFM:monomodalStopPlace:464040,1,1,149.09,189,,,,,
IDFM:StopPlaceEntrance:50170868:monomodalStopPlace:464040,IDFM:StopPlaceEntrance:50170868,IDFM:monomodalStopPlace:464040,1,1,70.21,89,,,,,
IDFM:StopPlaceEntrance:50171298:monomodalStopPlace:415093,IDFM:StopPlaceEntrance:50171298,IDFM:monomodalStopPlace:415093,1,1,251.49,320,,,,,
IDFM:StopPlaceEntrance:50170636:monomodalStopPlace:415093,IDFM:StopPlaceEntrance:50170636,IDFM:monomodalStopPlace:415093,1,1,40.74,51,,,,,
IDFM:StopPlaceEntrance:50170638:monomodalStopPlace:415091,IDFM:StopPlaceEntrance:50170638,IDFM:monomodalStopPlace:415091,1,1,60.83,77,,,,,
IDFM:StopPlaceEntrance:50170639:monomodalStopPlace:415091,IDFM:StopPlaceEntrance:50170639,IDFM:monomodalStopPlace:415091,1,1,64.29,81,,,,,
IDFM:StopPlaceEntrance:50148007:22103,IDFM:StopPlaceEntrance:50148007,IDFM:22103,1,1,130.09,165,,,,,
IDFM:StopPlaceEntrance:50148007:463040,IDFM:StopPlaceEntrance:50148007,IDFM:463040,1,1,132.16,168,,,,,
IDFM:22103:StopPlaceEntrance:50148006,IDFM:22103,IDFM:StopPlaceEntrance:50148006,1,0,16.95,21,,,,,
IDFM:463040:StopPlaceEntrance:50148006,IDFM:463040,IDFM:StopPlaceEntrance:50148006,1,0,18.97,24,,,,,
IDFM:StopPlaceEntrance:50148008:22103,IDFM:StopPlaceEntrance:50148008,IDFM:22103,1,1,140.36,178,,,,,
IDFM:StopPlaceEntrance:50148008:463040,IDFM:StopPlaceEntrance:50148008,IDFM:463040,1,1,142.58,181,,,,,
IDFM:StopPlaceEntrance:50148005:463040,IDFM:StopPlaceEntrance:50148005,IDFM:463040,1,1,67.87,86,,,,,
IDFM:StopPlaceEntrance:50148005:22103,IDFM:StopPlaceEntrance:50148005,IDFM:22103,1,1,70.02,89,,,,,
IDFM:StopPlaceEntrance:50148004:463040,IDFM:StopPlaceEntrance:50148004,IDFM:463040,1,1,97.23,123,,,,,
IDFM:StopPlaceEntrance:50148004:22103,IDFM:StopPlaceEntrance:50148004,IDFM:22103,1,1,99.12,126,,,,,
IDFM:StopPlaceEntrance:50148779:monomodalStopPlace:47238,IDFM:StopPlaceEntrance:50148779,IDFM:monomodalStopPlace:47238,1,1,110.78,141,,,,,
IDFM:StopPlaceEntrance:50148778:monomodalStopPlace:47238,IDFM:StopPlaceEntrance:50148778,IDFM:monomodalStopPlace:47238,1,1,111.55,142,,,,,
IDFM:StopPlaceEntrance:50148571:monomodalStopPlace:47238,IDFM:StopPlaceEntrance:50148571,IDFM:monomodalStopPlace:47238,1,1,85.18,108,,,,,
IDFM:StopPlaceEntrance:50148872:22146,IDFM:StopPlaceEntrance:50148872,IDFM:22146,1,1,175.44,223,,,,,
IDFM:StopPlaceEntrance:50148872:463208,IDFM:StopPlaceEntrance:50148872,IDFM:463208,1,1,184.55,235,,,,,
IDFM:StopPlaceEntrance:50148871:22146,IDFM:StopPlaceEntrance:50148871,IDFM:22146,1,1,48.01,61,,,,,
IDFM:StopPlaceEntrance:50148871:463208,IDFM:StopPlaceEntrance:50148871,IDFM:463208,1,1,56.23,71,,,,,
IDFM:StopPlaceEntrance:50148873:22146,IDFM:StopPlaceEntrance:50148873,IDFM:22146,1,1,206.05,262,,,,,
IDFM:StopPlaceEntrance:50148873:463208,IDFM:StopPlaceEntrance:50148873,IDFM:463208,1,1,214.57,273,,,,,
IDFM:StopPlaceEntrance:50147806:463208,IDFM:StopPlaceEntrance:50147806,IDFM:463208,1,1,43.04,54,,,,,
IDFM:StopPlaceEntrance:50147806:22146,IDFM:StopPlaceEntrance:50147806,IDFM:22146,1,1,47.43,60,,,,,
IDFM:StopPlaceEntrance:50147805:22146,IDFM:StopPlaceEntrance:50147805,IDFM:22146,1,1,112.09,142,,,,,
IDFM:StopPlaceEntrance:50147805:463208,IDFM:StopPlaceEntrance:50147805,IDFM:463208,1,1,115.69,147,,,,,
IDFM:StopPlaceEntrance:50147804:463208,IDFM:StopPlaceEntrance:50147804,IDFM:463208,1,1,59.18,75,,,,,
IDFM:StopPlaceEntrance:50147804:22146,IDFM:StopPlaceEntrance:50147804,IDFM:22146,1,1,67.87,86,,,,,
IDFM:StopPlaceEntrance:50170561:monomodalStopPlace:47205,IDFM:StopPlaceEntrance:50170561,IDFM:monomodalStopPlace:47205,1,1,57.46,73,,,,,
IDFM:StopPlaceEntrance:50170562:monomodalStopPlace:47205,IDFM:StopPlaceEntrance:50170562,IDFM:monomodalStopPlace:47205,1,1,70.9,90,,,,,
IDFM:StopPlaceEntrance:50148623:monomodalStopPlace:59206,IDFM:StopPlaceEntrance:50148623,IDFM:monomodalStopPlace:59206,1,1,48.78,62,,,,,
IDFM:StopPlaceEntrance:50148622:monomodalStopPlace:59206,IDFM:StopPlaceEntrance:50148622,IDFM:monomodalStopPlace:59206,1,1,58.59,74,,,,,
IDFM:StopPlaceEntrance:50148828:monomodalStopPlace:59206,IDFM:StopPlaceEntrance:50148828,IDFM:monomodalStopPlace:59206,1,1,70.97,90,,,,,
IDFM:StopPlaceEntrance:50171265:monomodalStopPlace:47412,IDFM:StopPlaceEntrance:50171265,IDFM:monomodalStopPlace:47412,1,1,50.89,64,,,,,
IDFM:StopPlaceEntrance:50170855:monomodalStopPlace:47412,IDFM:StopPlaceEntrance:50170855,IDFM:monomodalStopPlace:47412,1,1,20.45,26,,,,,
IDFM:StopPlaceEntrance:50170856:monomodalStopPlace:47412,IDFM:StopPlaceEntrance:50170856,IDFM:monomodalStopPlace:47412,1,1,14.02,17,,,,,
IDFM:StopPlaceEntrance:50170203:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170203,IDFM:monomodalStopPlace:46035,1,1,40.7,51,,,,,
IDFM:StopPlaceEntrance:50170204:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170204,IDFM:monomodalStopPlace:46035,1,1,24.8,31,,,,,
IDFM:StopPlaceEntrance:50171255:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50171255,IDFM:monomodalStopPlace:46035,1,1,32.39,41,,,,,
IDFM:StopPlaceEntrance:50170492:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170492,IDFM:monomodalStopPlace:46035,1,1,23.4,29,,,,,
IDFM:StopPlaceEntrance:50170493:monomodalStopPlace:46035,IDFM:StopPlaceEntrance:50170493,IDFM:monomodalStopPlace:46035,1,1,22.8,29,,,,,
IDFM:463068:StopPlaceEntrance:50147862,IDFM:463068,IDFM:StopPlaceEntrance:50147862,1,0,69.74,88,,,,,
IDFM:22031:StopPlaceEntrance:50147862,IDFM:22031,IDFM:StopPlaceEntrance:50147862,1,0,70.17,89,,,,,
IDFM:StopPlaceEntrance:50147861:463068,IDFM:StopPlaceEntrance:50147861,IDFM:463068,1,1,45.38,57,,,,,
IDFM:StopPlaceEntrance:50147861:22031,IDFM:StopPlaceEntrance:50147861,IDFM:22031,1,1,49.15,62,,,,,
IDFM:21973:StopPlaceEntrance:50148359,IDFM:21973,IDFM:StopPlaceEntrance:50148359,1,0,3.99,5,,,,,
IDFM:462994:StopPlaceEntrance:50148359,IDFM:462994,IDFM:StopPlaceEntrance:50148359,1,0,15.25,19,,,,,
IDFM:StopPlaceEntrance:50148360:21973,IDFM:StopPlaceEntrance:50148360,IDFM:21973,1,1,37.75,48,,,,,
IDFM:StopPlaceEntrance:50148360:462994,IDFM:StopPlaceEntrance:50148360,IDFM:462994,1,1,41.19,52,,,,,
IDFM:StopPlaceEntrance:50148630:monomodalStopPlace:46007,IDFM:StopPlaceEntrance:50148630,IDFM:monomodalStopPlace:46007,1,1,100.59,128,,,,,
IDFM:StopPlaceEntrance:50148629:monomodalStopPlace:46007,IDFM:StopPlaceEntrance:50148629,IDFM:monomodalStopPlace:46007,1,1,86.99,110,,,,,
IDFM:StopPlaceEntrance:50171213:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50171213,IDFM:monomodalStopPlace:47322,1,1,68.97,87,,,,,
IDFM:StopPlaceEntrance:50171214:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50171214,IDFM:monomodalStopPlace:47322,1,1,122.26,155,,,,,
IDFM:StopPlaceEntrance:50170692:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50170692,IDFM:monomodalStopPlace:47322,1,1,84.91,108,,,,,
IDFM:StopPlaceEntrance:50171212:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50171212,IDFM:monomodalStopPlace:47322,1,1,38.88,49,,,,,
IDFM:StopPlaceEntrance:50170691:monomodalStopPlace:47322,IDFM:StopPlaceEntrance:50170691,IDFM:monomodalStopPlace:47322,1,1,70.98,90,,,,,
IDFM:StopPlaceEntrance:50171330:monomodalStopPlace:47533,IDFM:StopPlaceEntrance:50171330,IDFM:monomodalStopPlace:47533,1,1,118.91,151,,,,,
IDFM:StopPlaceEntrance:50171332:monomodalStopPlace:47533,IDFM:StopPlaceEntrance:50171332,IDFM:monomodalStopPlace:47533,1,1,119.74,152,,,,,
IDFM:StopPlaceEntrance:50171238:monomodalStopPlace:47530,IDFM:StopPlaceEntrance:50171238,IDFM:monomodalStopPlace:47530,1,1,66.91,85,,,,,
IDFM:StopPlaceEntrance:50170362:monomodalStopPlace:47530,IDFM:StopPlaceEntrance:50170362,IDFM:monomodalStopPlace:47530,1,1,41.25,52,,,,,
IDFM:StopPlaceEntrance:50170363:monomodalStopPlace:47530,IDFM:StopPlaceEntrance:50170363,IDFM:monomodalStopPlace:47530,1,1,123.5,157,,,,,
IDFM:StopPlaceEntrance:50170906:monomodalStopPlace:47524,IDFM:StopPlaceEntrance:50170906,IDFM:monomodalStopPlace:47524,1,1,18.06,23,,,,,
IDFM:StopPlaceEntrance:50170614:monomodalStopPlace:47524,IDFM:StopPlaceEntrance:50170614,IDFM:monomodalStopPlace:47524,1,1,33.7,42,,,,,
IDFM:StopPlaceEntrance:50170603:monomodalStopPlace:47525,IDFM:StopPlaceEntrance:50170603,IDFM:monomodalStopPlace:47525,1,1,33.33,42,,,,,
IDFM:StopPlaceEntrance:50170832:monomodalStopPlace:47522,IDFM:StopPlaceEntrance:50170832,IDFM:monomodalStopPlace:47522,1,1,105.39,134,,,,,
IDFM:StopPlaceEntrance:50170391:monomodalStopPlace:47528,IDFM:StopPlaceEntrance:50170391,IDFM:monomodalStopPlace:47528,1,1,53.3,67,,,,,
IDFM:StopPlaceEntrance:50171313:monomodalStopPlace:47517,IDFM:StopPlaceEntrance:50171313,IDFM:monomodalStopPlace:47517,1,1,138.5,176,,,,,
IDFM:StopPlaceEntrance:50170607:monomodalStopPlace:47517,IDFM:StopPlaceEntrance:50170607,IDFM:monomodalStopPlace:47517,1,1,19.81,25,,,,,
IDFM:StopPlaceEntrance:50170613:monomodalStopPlace:47517,IDFM:StopPlaceEntrance:50170613,IDFM:monomodalStopPlace:47517,1,1,13.3,16,,,,,
IDFM:StopPlaceEntrance:50171269:monomodalStopPlace:46163,IDFM:StopPlaceEntrance:50171269,IDFM:monomodalStopPlace:46163,1,1,143.46,182,,,,,
IDFM:StopPlaceEntrance:50170103:monomodalStopPlace:47491,IDFM:StopPlaceEntrance:50170103,IDFM:monomodalStopPlace:47491,1,1,122.32,155,,,,,
IDFM:StopPlaceEntrance:50170412:monomodalStopPlace:47491,IDFM:StopPlaceEntrance:50170412,IDFM:monomodalStopPlace:47491,1,1,26.14,33,,,,,
IDFM:StopPlaceEntrance:50170104:monomodalStopPlace:47491,IDFM:StopPlaceEntrance:50170104,IDFM:monomodalStopPlace:47491,1,1,123.67,157,,,,,
IDFM:StopPlaceEntrance:50170413:monomodalStopPlace:47491,IDFM:StopPlaceEntrance:50170413,IDFM:monomodalStopPlace:47491,1,1,46.58,59,,,,,
IDFM:StopPlaceEntrance:50170569:monomodalStopPlace:47491,IDFM:StopPlaceEntrance:50170569,IDFM:monomodalStopPlace:47491,1,1,34.83,44,,,,,
IDFM:StopPlaceEntrance:50170566:monomodalStopPlace:47486,IDFM:StopPlaceEntrance:50170566,IDFM:monomodalStopPlace:47486,1,1,21.59,27,,,,,
IDFM:StopPlaceEntrance:50170567:monomodalStopPlace:47486,IDFM:StopPlaceEntrance:50170567,IDFM:monomodalStopPlace:47486,1,1,22.42,28,,,,,
IDFM:StopPlaceEntrance:50170568:monomodalStopPlace:47486,IDFM:StopPlaceEntrance:50170568,IDFM:monomodalStopPlace:47486,1,1,21.66,27,,,,,
IDFM:StopPlaceEntrance:50171303:monomodalStopPlace:47484,IDFM:StopPlaceEntrance:50171303,IDFM:monomodalStopPlace:47484,1,1,75.92,96,,,,,
IDFM:StopPlaceEntrance:50170808:monomodalStopPlace:47484,IDFM:StopPlaceEntrance:50170808,IDFM:monomodalStopPlace:47484,1,1,75.12,95,,,,,
IDFM:StopPlaceEntrance:50170253:monomodalStopPlace:47484,IDFM:StopPlaceEntrance:50170253,IDFM:monomodalStopPlace:47484,1,1,60.01,76,,,,,
IDFM:StopPlaceEntrance:50170571:monomodalStopPlace:47482,IDFM:StopPlaceEntrance:50170571,IDFM:monomodalStopPlace:47482,1,1,29.08,37,,,,,
IDFM:StopPlaceEntrance:50170572:monomodalStopPlace:47482,IDFM:StopPlaceEntrance:50170572,IDFM:monomodalStopPlace:47482,1,1,52.89,67,,,,,
IDFM:StopPlaceEntrance:50171173:monomodalStopPlace:47482,IDFM:StopPlaceEntrance:50171173,IDFM:monomodalStopPlace:47482,1,1,124.4,158,,,,,
IDFM:StopPlaceEntrance:50171174:monomodalStopPlace:47482,IDFM:StopPlaceEntrance:50171174,IDFM:monomodalStopPlace:47482,1,1,123.85,157,,,,,
IDFM:StopPlaceEntrance:50170570:monomodalStopPlace:47482,IDFM:StopPlaceEntrance:50170570,IDFM:monomodalStopPlace:47482,1,1,17.76,22,,,,,
IDFM:StopPlaceEntrance:50171210:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50171210,IDFM:monomodalStopPlace:47447,1,1,67.18,85,,,,,
IDFM:StopPlaceEntrance:50171328:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50171328,IDFM:monomodalStopPlace:47447,1,1,96.28,122,,,,,
IDFM:StopPlaceEntrance:50170679:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50170679,IDFM:monomodalStopPlace:47447,1,1,73.2,93,,,,,
IDFM:StopPlaceEntrance:50171209:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50171209,IDFM:monomodalStopPlace:47447,1,1,59.51,75,,,,,
IDFM:StopPlaceEntrance:50170659:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50170659,IDFM:monomodalStopPlace:47447,1,1,65.52,83,,,,,
IDFM:StopPlaceEntrance:50170924:monomodalStopPlace:47654,IDFM:StopPlaceEntrance:50170924,IDFM:monomodalStopPlace:47654,1,1,100.23,127,,,,,
IDFM:StopPlaceEntrance:50170925:monomodalStopPlace:47654,IDFM:StopPlaceEntrance:50170925,IDFM:monomodalStopPlace:47654,1,1,50.32,64,,,,,
