trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
7-CG132-022-0083,19:18:00,19:19:00,830012952,3,,,,,1
7-CG132-022-0083,19:38:00,19:38:00,830012950,4,,,,,1
7-CG131-023-0083,18:10:00,18:10:00,830012950,1,,,,,1
7-CG131-023-0083,18:24:00,18:25:00,830012952,2,,,,,1
7-CG131-023-0083,18:43:00,18:44:00,830012954,3,,,,,1
7-CG131-023-0083,19:04:00,19:04:00,830012888,4,,,,,1
7-CG129-024-0083,18:02:00,18:02:00,830013703,1,,,,,1
7-CG129-024-0083,18:24:00,18:25:00,830012952,2,,,,,1
7-CG129-024-0083,18:43:00,18:44:00,830012954,3,,,,,1
7-CG129-024-0083,19:04:00,19:04:00,830012888,4,,,,,1
7-CG128-025-0083,18:07:00,18:07:00,830012888,1,,,,,1
7-CG128-025-0083,18:27:00,18:28:00,830012954,2,,,,,1
7-CG128-025-0083,18:49:00,18:50:00,830012952,3,,,,,1
7-CG128-025-0083,19:13:00,19:13:00,830013703,4,,,,,1
7-CG127-026-0083,17:39:00,17:39:00,830012950,1,,,,,1
7-CG127-026-0083,17:53:00,17:54:00,830012952,2,,,,,1
7-CG127-026-0083,18:12:00,18:13:00,830012954,3,,,,,1
7-CG127-026-0083,18:33:00,18:33:00,830012888,4,,,,,1
7-CG126-027-0083,18:07:00,18:07:00,830012888,1,,,,,1
7-CG126-027-0083,18:27:00,18:28:00,830012954,2,,,,,1
7-CG126-027-0083,18:49:00,18:50:00,830012952,3,,,,,1
7-CG126-027-0083,19:09:00,19:09:00,830012950,4,,,,,1
7-CG125-028-0083,17:31:00,17:31:00,830013703,1,,,,,1
7-CG125-028-0083,17:53:00,17:54:00,830012952,2,,,,,1
7-CG125-028-0083,18:12:00,18:13:00,830012954,3,,,,,1
7-CG125-028-0083,18:33:00,18:33:00,830012888,4,,,,,1
7-CG124-029-0083,18:02:00,18:02:00,830012888,1,,,,,1
7-CG124-029-0083,18:22:00,18:23:00,830012954,2,,,,,1
7-CG124-029-0083,18:44:00,18:45:00,830012952,3,,,,,1
7-CG124-029-0083,19:08:00,19:08:00,830013703,4,,,,,1
7-CG123-02A-0083,17:16:00,17:16:00,830012950,1,,,,,1
7-CG123-02A-0083,17:30:00,17:31:00,830012952,2,,,,,1
7-CG123-02A-0083,17:49:00,17:50:00,830012954,3,,,,,1
7-CG123-02A-0083,18:10:00,18:10:00,830012888,4,,,,,1
7-CG122-02B-0083,18:02:00,18:02:00,830012888,1,,,,,1
7-CG122-02B-0083,18:22:00,18:23:00,830012954,2,,,,,1
7-CG122-02B-0083,18:44:00,18:45:00,830012952,3,,,,,1
7-CG122-02B-0083,19:04:00,19:04:00,830012950,4,,,,,1
7-CG121-02C-0083,17:08:00,17:08:00,830013703,1,,,,,1
7-CG121-02C-0083,17:30:00,17:31:00,830012952,2,,,,,1
7-CG121-02C-0083,17:49:00,17:50:00,830012954,3,,,,,1
7-CG121-02C-0083,18:10:00,18:10:00,830012888,4,,,,,1
7-CG120-02D-0083,18:02:00,18:02:00,830012888,1,,,,,1
7-CG120-02D-0083,18:22:00,18:23:00,830012954,2,,,,,1
7-CG120-02D-0083,18:44:00,18:45:00,830012952,3,,,,,1
7-CG120-02D-0083,19:08:00,19:08:00,830013703,4,,,,,1
7-CG119-02E-0083,16:36:00,16:36:00,830012950,1,,,,,1
7-CG119-02E-0083,16:50:00,16:51:00,830012952,2,,,,,1
7-CG119-02E-0083,17:09:00,17:10:00,830012954,3,,,,,1
7-CG119-02E-0083,17:30:00,17:30:00,830012888,4,,,,,1
7-CG118-02F-0083,17:26:00,17:26:00,830012888,1,,,,,1
7-CG118-02F-0083,17:46:00,17:47:00,830012954,2,,,,,1
7-CG118-02F-0083,18:08:00,18:09:00,830012952,3,,,,,1
7-CG118-02F-0083,18:28:00,18:28:00,830012950,4,,,,,1
7-CG117-030-0083,16:28:00,16:28:00,830013703,1,,,,,1
7-CG117-030-0083,16:50:00,16:51:00,830012952,2,,,,,1
7-CG117-030-0083,17:09:00,17:10:00,830012954,3,,,,,1
7-CG117-030-0083,17:30:00,17:30:00,830012888,4,,,,,1
7-CG116-031-0083,17:26:00,17:26:00,830012888,1,,,,,1
7-CG116-031-0083,17:46:00,17:47:00,830012954,2,,,,,1
7-CG116-031-0083,18:08:00,18:09:00,830012952,3,,,,,1
7-CG116-031-0083,18:32:00,18:32:00,830013703,4,,,,,1
7-CG115-032-0083,16:16:00,16:16:00,830012950,1,,,,,1
7-CG115-032-0083,16:30:00,16:31:00,830012952,2,,,,,1
7-CG115-032-0083,16:49:00,16:50:00,830012954,3,,,,,1
7-CG115-032-0083,17:10:00,17:10:00,830012888,4,,,,,1
7-CG114-033-0083,17:26:00,17:26:00,830012888,1,,,,,1
7-CG114-033-0083,17:46:00,17:47:00,830012954,2,,,,,1
7-CG114-033-0083,18:08:00,18:09:00,830012952,3,,,,,1
7-CG114-033-0083,18:28:00,18:28:00,830012950,4,,,,,1
7-CG113-034-0083,16:08:00,16:08:00,830013703,1,,,,,1
7-CG113-034-0083,16:30:00,16:31:00,830012952,2,,,,,1
7-CG113-034-0083,16:49:00,16:50:00,830012954,3,,,,,1
7-CG113-034-0083,17:10:00,17:10:00,830012888,4,,,,,1
7-CG112-035-0083,17:07:00,17:07:00,830012888,1,,,,,1
7-CG112-035-0083,17:27:00,17:28:00,830012954,2,,,,,1
7-CG112-035-0083,17:49:00,17:50:00,830012952,3,,,,,1
7-CG112-035-0083,18:13:00,18:13:00,830013703,4,,,,,1
7-CG111-036-0083,16:06:00,16:06:00,830012950,1,,,,,1
7-CG111-036-0083,16:20:00,16:21:00,830012952,2,,,,,1
7-CG111-036-0083,16:39:00,16:40:00,830012954,3,,,,,1
7-CG111-036-0083,17:00:00,17:00:00,830012888,4,,,,,1
7-CG110-037-0083,17:07:00,17:07:00,830012888,1,,,,,1
7-CG110-037-0083,17:27:00,17:28:00,830012954,2,,,,,1
7-CG110-037-0083,17:49:00,17:50:00,830012952,3,,,,,1
7-CG110-037-0083,18:09:00,18:09:00,830012950,4,,,,,1
7-CG109-038-0083,15:58:00,15:58:00,830013703,1,,,,,1
7-CG109-038-0083,16:20:00,16:21:00,830012952,2,,,,,1
7-CG109-038-0083,16:39:00,16:40:00,830012954,3,,,,,1
7-CG109-038-0083,17:00:00,17:00:00,830012888,4,,,,,1
7-CG108-039-0083,16:19:00,16:19:00,830012888,1,,,,,1
7-CG108-039-0083,16:39:00,16:40:00,830012954,2,,,,,1
7-CG108-039-0083,17:01:00,17:02:00,830012952,3,,,,,1
7-CG108-039-0083,17:25:00,17:25:00,830013703,4,,,,,1
7-CG107-03A-0083,15:21:00,15:21:00,830012950,1,,,,,1
7-CG107-03A-0083,15:35:00,15:36:00,830012952,2,,,,,1
7-CG107-03A-0083,15:54:00,15:55:00,830012954,3,,,,,1
7-CG107-03A-0083,16:15:00,16:15:00,830012888,4,,,,,1
7-CG106-03B-0083,16:19:00,16:19:00,830012888,1,,,,,1
7-CG106-03B-0083,16:39:00,16:40:00,830012954,2,,,,,1
7-CG106-03B-0083,17:01:00,17:02:00,830012952,3,,,,,1
7-CG106-03B-0083,17:21:00,17:21:00,830012950,4,,,,,1
7-CG105-03C-0083,15:13:00,15:13:00,830013703,1,,,,,1
7-CG105-03C-0083,15:35:00,15:36:00,830012952,2,,,,,1
7-CG105-03C-0083,15:54:00,15:55:00,830012954,3,,,,,1
7-CG105-03C-0083,16:15:00,16:15:00,830012888,4,,,,,1
7-CG104-03D-0083,16:07:00,16:07:00,830012888,1,,,,,1
7-CG104-03D-0083,16:27:00,16:28:00,830012954,2,,,,,1
7-CG104-03D-0083,16:49:00,16:50:00,830012952,3,,,,,1
7-CG104-03D-0083,17:13:00,17:13:00,830013703,4,,,,,1
7-CG103-03E-0083,14:57:00,14:57:00,830012950,1,,,,,1
7-CG103-03E-0083,15:11:00,15:12:00,830012952,2,,,,,1
7-CG103-03E-0083,15:30:00,15:31:00,830012954,3,,,,,1
7-CG103-03E-0083,15:51:00,15:51:00,830012888,4,,,,,1
7-CG102-03F-0083,16:07:00,16:07:00,830012888,1,,,,,1
7-CG102-03F-0083,16:27:00,16:28:00,830012954,2,,,,,1
7-CG102-03F-0083,16:49:00,16:50:00,830012952,3,,,,,1
7-CG102-03F-0083,17:09:00,17:09:00,830012950,4,,,,,1
7-CG101-040-0083,14:49:00,14:49:00,830013703,1,,,,,1
7-CG101-040-0083,15:11:00,15:12:00,830012952,2,,,,,1
7-CG101-040-0083,15:30:00,15:31:00,830012954,3,,,,,1
7-CG101-040-0083,15:51:00,15:51:00,830012888,4,,,,,1
7-CG100-041-0083,15:36:00,15:36:00,830012888,1,,,,,1
7-CG100-041-0083,15:56:00,15:57:00,830012954,2,,,,,1
7-CG100-041-0083,16:18:00,16:19:00,830012952,3,,,,,1
7-CG100-041-0083,16:42:00,16:42:00,830013703,4,,,,,1
7-CG099-042-0083,14:46:00,14:46:00,830012950,1,,,,,1
7-CG099-042-0083,15:00:00,15:01:00,830012952,2,,,,,1
7-CG099-042-0083,15:19:00,15:20:00,830012954,3,,,,,1
7-CG099-042-0083,15:40:00,15:40:00,830012888,4,,,,,1
7-CG098-043-0083,15:36:00,15:36:00,830012888,1,,,,,1
7-CG098-043-0083,15:56:00,15:57:00,830012954,2,,,,,1
7-CG098-043-0083,16:18:00,16:19:00,830012952,3,,,,,1
7-CG098-043-0083,16:38:00,16:38:00,830012950,4,,,,,1
7-CG097-044-0083,14:38:00,14:38:00,830013703,1,,,,,1
7-CG097-044-0083,15:00:00,15:01:00,830012952,2,,,,,1
7-CG097-044-0083,15:19:00,15:20:00,830012954,3,,,,,1
7-CG097-044-0083,15:40:00,15:40:00,830012888,4,,,,,1
7-CG096-045-0083,14:59:00,14:59:00,830012888,1,,,,,1
7-CG096-045-0083,15:19:00,15:20:00,830012954,2,,,,,1
7-CG096-045-0083,15:41:00,15:42:00,830012952,3,,,,,1
7-CG096-045-0083,16:01:00,16:01:00,830012950,4,,,,,1
7-CG095-046-0083,14:16:00,14:16:00,830012950,1,,,,,1
7-CG095-046-0083,14:30:00,14:31:00,830012952,2,,,,,1
7-CG095-046-0083,14:49:00,14:50:00,830012954,3,,,,,1
7-CG095-046-0083,15:10:00,15:10:00,830012888,4,,,,,1
7-CG094-047-0083,14:59:00,14:59:00,830012888,1,,,,,1
7-CG094-047-0083,15:19:00,15:20:00,830012954,2,,,,,1
7-CG094-047-0083,15:41:00,15:42:00,830012952,3,,,,,1
7-CG094-047-0083,16:05:00,16:05:00,830013703,4,,,,,1
7-CG093-048-0083,14:08:00,14:08:00,830013703,1,,,,,1
7-CG093-048-0083,14:30:00,14:31:00,830012952,2,,,,,1
7-CG093-048-0083,14:49:00,14:50:00,830012954,3,,,,,1
7-CG093-048-0083,15:10:00,15:10:00,830012888,4,,,,,1
7-CG092-049-0083,14:46:00,14:46:00,830012888,1,,,,,1
7-CG092-049-0083,15:06:00,15:07:00,830012954,2,,,,,1
7-CG092-049-0083,15:28:00,15:29:00,830012952,3,,,,,1
7-CG092-049-0083,15:52:00,15:52:00,830013703,4,,,,,1
7-CG091-04A-0083,13:56:00,13:56:00,830012950,1,,,,,1
7-CG091-04A-0083,14:10:00,14:11:00,830012952,2,,,,,1
7-CG091-04A-0083,14:29:00,14:30:00,830012954,3,,,,,1
7-CG091-04A-0083,14:50:00,14:50:00,830012888,4,,,,,1
7-CG090-04B-0083,14:46:00,14:46:00,830012888,1,,,,,1
7-CG090-04B-0083,15:06:00,15:07:00,830012954,2,,,,,1
7-CG090-04B-0083,15:28:00,15:29:00,830012952,3,,,,,1
7-CG090-04B-0083,15:48:00,15:48:00,830012950,4,,,,,1
7-CG089-04C-0083,13:48:00,13:48:00,830013703,1,,,,,1
7-CG089-04C-0083,14:10:00,14:11:00,830012952,2,,,,,1
7-CG089-04C-0083,14:29:00,14:30:00,830012954,3,,,,,1
7-CG089-04C-0083,14:50:00,14:50:00,830012888,4,,,,,1
7-CG088-04D-0083,14:07:00,14:07:00,830012888,1,,,,,1
7-CG088-04D-0083,14:27:00,14:28:00,830012954,2,,,,,1
7-CG088-04D-0083,14:49:00,14:50:00,830012952,3,,,,,1
7-CG088-04D-0083,15:09:00,15:09:00,830012950,4,,,,,1
7-CG087-04E-0083,13:48:00,13:48:00,830013703,1,,,,,1
7-CG087-04E-0083,14:10:00,14:11:00,830012952,2,,,,,1
7-CG087-04E-0083,14:29:00,14:30:00,830012954,3,,,,,1
7-CG087-04E-0083,14:50:00,14:50:00,830012888,4,,,,,1
7-CG086-04F-0083,14:07:00,14:07:00,830012888,1,,,,,1
7-CG086-04F-0083,14:27:00,14:28:00,830012954,2,,,,,1
7-CG086-04F-0083,14:49:00,14:50:00,830012952,3,,,,,1
7-CG086-04F-0083,15:13:00,15:13:00,830013703,4,,,,,1
7-CG084-050-0083,14:07:00,14:07:00,830012888,1,,,,,1
7-CG084-050-0083,14:27:00,14:28:00,830012954,2,,,,,1
7-CG084-050-0083,14:49:00,14:50:00,830012952,3,,,,,1
7-CG084-050-0083,15:13:00,15:13:00,830013703,4,,,,,1
7-CG083-051-0083,13:06:00,13:06:00,830012950,1,,,,,1
7-CG083-051-0083,13:20:00,13:21:00,830012952,2,,,,,1
7-CG083-051-0083,13:39:00,13:40:00,830012954,3,,,,,1
7-CG083-051-0083,14:00:00,14:00:00,830012888,4,,,,,1
7-CG082-052-0083,14:07:00,14:07:00,830012888,1,,,,,1
7-CG082-052-0083,14:27:00,14:28:00,830012954,2,,,,,1
7-CG082-052-0083,14:49:00,14:50:00,830012952,3,,,,,1
7-CG082-052-0083,15:09:00,15:09:00,830012950,4,,,,,1
7-CG081-053-0083,12:58:00,12:58:00,830013703,1,,,,,1
7-CG081-053-0083,13:20:00,13:21:00,830012952,2,,,,,1
7-CG081-053-0083,13:39:00,13:40:00,830012954,3,,,,,1
7-CG081-053-0083,14:00:00,14:00:00,830012888,4,,,,,1
7-CG080-054-0083,14:07:00,14:07:00,830012888,1,,,,,1
7-CG080-054-0083,14:27:00,14:28:00,830012954,2,,,,,1
7-CG080-054-0083,14:49:00,14:50:00,830012952,3,,,,,1
7-CG080-054-0083,15:13:00,15:13:00,830013703,4,,,,,1
7-CG078-055-0083,13:26:00,13:26:00,830012888,1,,,,,1
7-CG078-055-0083,13:46:00,13:47:00,830012954,2,,,,,1
7-CG078-055-0083,14:08:00,14:09:00,830012952,3,,,,,1
7-CG078-055-0083,14:28:00,14:28:00,830012950,4,,,,,1
7-CG077-056-0083,12:39:00,12:39:00,830012950,1,,,,,1
7-CG077-056-0083,12:53:00,12:54:00,830012952,2,,,,,1
7-CG077-056-0083,13:12:00,13:13:00,830012954,3,,,,,1
7-CG077-056-0083,13:33:00,13:33:00,830012888,4,,,,,1
7-CG076-057-0083,13:26:00,13:26:00,830012888,1,,,,,1
7-CG076-057-0083,13:46:00,13:47:00,830012954,2,,,,,1
7-CG076-057-0083,14:08:00,14:09:00,830012952,3,,,,,1
7-CG076-057-0083,14:32:00,14:32:00,830013703,4,,,,,1
7-CG075-058-0083,12:31:00,12:31:00,830013703,1,,,,,1
7-CG075-058-0083,12:53:00,12:54:00,830012952,2,,,,,1
7-CG075-058-0083,13:12:00,13:13:00,830012954,3,,,,,1
7-CG075-058-0083,13:33:00,13:33:00,830012888,4,,,,,1
7-CG074-059-0083,12:59:00,12:59:00,830012888,1,,,,,1
7-CG074-059-0083,13:19:00,13:20:00,830012954,2,,,,,1
7-CG074-059-0083,13:41:00,13:42:00,830012952,3,,,,,1
7-CG074-059-0083,14:01:00,14:01:00,830012950,4,,,,,1
7-CG073-05A-0083,12:16:00,12:16:00,830012950,1,,,,,1
7-CG073-05A-0083,12:30:00,12:31:00,830012952,2,,,,,1
7-CG073-05A-0083,12:49:00,12:50:00,830012954,3,,,,,1
7-CG073-05A-0083,13:10:00,13:10:00,830012888,4,,,,,1
7-CG072-05B-0083,12:59:00,12:59:00,830012888,1,,,,,1
7-CG072-05B-0083,13:19:00,13:20:00,830012954,2,,,,,1
7-CG072-05B-0083,13:41:00,13:42:00,830012952,3,,,,,1
7-CG072-05B-0083,14:05:00,14:05:00,830013703,4,,,,,1
7-CG071-05C-0083,12:08:00,12:08:00,830013703,1,,,,,1
7-CG071-05C-0083,12:30:00,12:31:00,830012952,2,,,,,1
7-CG071-05C-0083,12:49:00,12:50:00,830012954,3,,,,,1
7-CG071-05C-0083,13:10:00,13:10:00,830012888,4,,,,,1
7-CG070-05D-0083,12:36:00,12:36:00,830012888,1,,,,,1
7-CG070-05D-0083,12:56:00,12:57:00,830012954,2,,,,,1
7-CG070-05D-0083,13:18:00,13:19:00,830012952,3,,,,,1
7-CG070-05D-0083,13:42:00,13:42:00,830013703,4,,,,,1
7-CG069-05E-0083,11:36:00,11:36:00,830012950,1,,,,,1
7-CG069-05E-0083,11:50:00,11:51:00,830012952,2,,,,,1
7-CG069-05E-0083,12:09:00,12:10:00,830012954,3,,,,,1
7-CG069-05E-0083,12:30:00,12:30:00,830012888,4,,,,,1
7-CG068-05F-0083,12:36:00,12:36:00,830012888,1,,,,,1
7-CG068-05F-0083,12:56:00,12:57:00,830012954,2,,,,,1
7-CG068-05F-0083,13:18:00,13:19:00,830012952,3,,,,,1
7-CG068-05F-0083,13:38:00,13:38:00,830012950,4,,,,,1
7-CG067-060-0083,11:28:00,11:28:00,830013703,1,,,,,1
7-CG067-060-0083,11:50:00,11:51:00,830012952,2,,,,,1
7-CG067-060-0083,12:09:00,12:10:00,830012954,3,,,,,1
7-CG067-060-0083,12:30:00,12:30:00,830012888,4,,,,,1
7-CG066-061-0083,12:07:00,12:07:00,830012888,1,,,,,1
7-CG066-061-0083,12:27:00,12:28:00,830012954,2,,,,,1
7-CG066-061-0083,12:49:00,12:50:00,830012952,3,,,,,1
7-CG066-061-0083,13:13:00,13:13:00,830013703,4,,,,,1
